Inspection ID	DBA Name	AKA Name	License #	Facility Type	Risk	Address	City	State	Zip	Inspection Date	Inspection Type	Results	Violations	Latitude	Longitude	Location
2611440	NEAL F. SIMEON HIGH SCHOOL	NEAL F. SIMEON HIGH SCHOOL	53061.0	School	Risk 1 (High)	8147 S Vincennes (448W)	CHICAGO	IL	60620.0	2025-01-30	Canvass	Fail	10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: MUST PROVIDE HAND WASHING SIGNS IN ALL TOILET ROOMS. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO SOAP DISPENSERS IN 1ST FL. BOY'S & 2ND FL. BOY'S(NORTH) MUST PROVIDE AND MAINTAIN.(PRIORITY FOUNDATION 7-38-030(C) | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: MUST ADJUST FAUCET HANDLES TO STAY ON LONGER FOR HAND WASHING GYM BOY'S & GIRL'S.MUST REPAIR OR REPLACE LOW COLD WATER PRESSURE AT HAND SINK IN 1ST FL. STAFF (NORTH),SLOW DRAIN AT HAND SINKS IN 1ST FL. GIRL'S (NORTH) & 3RD FL. GIRL'S. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED EVIDENCE OF APPX. 150 OR MORE MICE DROPPINGS IN KITCHEN-ON FLOOR BEHIND SHOVEL,UNDER 3- COMPARTMENT SINK IN CORNER,NEXT TO BAIT BOX BEHIND KITCHEN DOOR.MOPSINK CLOSET-ON TOP OF BOXES AND ON FLOOR UNDER SHELVING UNIT.UNUSED DISH MACHINE AREA-ON FLOOR UNDER CRATE,SCATTERED UNDERNEATH UNUSED DISH MACHINE AND PAPER GOOD STORAGE RACK.LUNCH ROOM-INSIDE OF (EAST)BROKEN WINDOW SILL MIXED IN WITH GNAWED CANDY PAPER.LOCKER ROOM- ON FLOOR UNDER LOCKERS AND IN BETWEEN BROOMS IN SAME AREA.CULINARY ARTS ROOM-ON TABLE UNDERNEATH DISH MACHINE,ON FLOOR BEHIND ICE MACHINE,IN WINDOW SILLS,ON LEDGE OF HOT HOLDING UNIT & STORAGE CABINET,KETTLE LEDGE,TABLE SETTING AREA-ON FLOOR AND ON BOOK SHELF,ON FLOOR NEXT TO & IN BETWEEN WASH MACHINE & DRYER.UTENSIL STORAGE ROOM-UNDER,AROUND AND NEXT TO ALL STORAGE SHELVES.MUST REMOVE DROPPINGS CLEAN AND SANITIZE AREAS. RECOMMENDED TO HAVE A PEST CONTROL OPERATOR TO SERVICE PREMISES ON OR AFTER 1/30/25.(PRIORITY FOUNDATION 7-38-020(A) | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: MUST REPAIR OR REPLACE EXTERIOR LOWER TRIM WALK IN FREEZER & WORN DOOR GASKET AND TAPE ON WALK IN COOLER. | 48. WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments: OBSERVED NO TEMPERATURE MEASURING DEVICE AT THE PLATE FOR HIGH TEMPERATURE DISH MACHINE IN CULINARY ARTS ROOM MUST PROVIDE AND MAINTAIN. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: MUST CLEAN DEBRIS BUILD UP FROM CULINARY ARTS ROOM-LOWER CABINETS.KITCHEN-WALK IN COOLER SHELVING UNITS AND WHEEL BASES,INTERIOR OF GARBAGE CANS IN LUNCH ROOM. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST CLEAN DUST BUILD UP FROM WALL NEXT TO ICE MACHINE IN KITCHEN. | 60. PREVIOUS CORE VIOLATION CORRECTED - Comments: PREVIOUS CORE VIOLATIONS FROM REPORT #2589635 2/15/24 NOT CORRECTED-#10: 6-301.14 : OBSERVED NO HAND WASHING SIGNS IN TOILET ROOMS SUCH AS 1ST FL. GIRL'S & BOY'S SOUTH,1ST FL. GIRL'S POOL SIDE,125-UNISEX,2ND FL. GIRL'S NORTH,2ND FL. GIRL'S & BOY'S SOUTH MUST PROVIDE AND MAINTAIN.#10-5-202.12 (B-D) : MUST ADJUST FAUCET TO STAY ON LONGER AT HAND SINK IN 1ST FL GIRL'S POOL SIDE TOILET ROOM AND REPAIR ADDITIONAL SINK THAT'S IN POOR REPAIR.#38-6-202.15 : OBSERVED A GAP ALONG BOTTOM OF KITCHEN DOOR MUST MAKE TIGHT FITTING.#55-6-201.13 : MUST REPAIR OR REPLACE DAMAGED FLOORING IN LUNCHROOM,BROKEN WINDOW SILLS IN LUNCHROOM,MISSING & STAINED CEILING TILES IN LUNCH ROOM.(PRIORITY FOUNDATION 7-42-090)	41.74579216999111	-87.63536999701962	(41.74579216999111, -87.63536999701962)
2611411	SIAM THAI	SIAM THAI	3010547.0	Restaurant	Risk 1 (High)	1329 S MICHIGAN AVE	CHICAGO	IL	60605.0	2025-01-30	License	Pass		41.86495006886034	-87.6239479040354	(41.86495006886034, -87.6239479040354)
2612259	PRIDE SUSHI AND THAI	PRIDE SUSHI AND THAI	2313790.0	Restaurant	Risk 1 (High)	2706 W PETERSON AVE	CHICAGO	IL	60659.0	2025-02-18	Canvass Re-Inspection	Pass	49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED ACCUMULATED FOOD DEBRIS INSIDE REACH IN PREP COOLERS AND INTERIOR OF PREP AREA SINKS. MUST CLEAN EQUIPMENT AND MAINTAIN.	41.99056417789373	-87.69728073381681	(41.99056417789373, -87.69728073381681)
2611457	SHERATON GRAND CHICAGO RIVERWALK	RIVERSIDE CAFE	2996893.0	Restaurant	Risk 1 (High)	301 E NORTH WATER ST	CHICAGO	IL	60611.0	2025-01-30	License	Pass	"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED MILK CRATES BEING USED AS SHELVING THROUGHOUT THE PREP AND STORAGE AREAS. MUST REMOVE AND PROVIDE SHELVING THAT IS 6"" OFF THE FLOOR AND PROVIDES FLOOR ACCESSIBILITY TO ENSURE ADEQUATE FACILITY CLEANING. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED CUTTING BOARDS IN THE REAR PREP AREA WITH OPEN SEAMS AND DARK STAINS. INSTRUCTED TO REFINISH OR REPLACE DAMAGED OR STAINED CUTTING BOARDS AND MAINTAIN AT ALL TIMES.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED CLUTTER STORED IN BROKEN NON-FUNCTIONING EQUIPMENT IN REAR PREP. INSTRUCTED MANAGER TO REMOVE ALL UNUSED ARTICLES AND EQUIPMENT TO PREVENT PEST HARBORAGE.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED GREASE BUILDUP, FOOD DEBRIS, AND DIRT ON FLOOR UNDER COOKING EQUIPMENT, ALONG WALLS AND IN ALL CORNERS IN PREP, DISH WASHING, STORAGE AND BANQUET AREAS. INSTRUCTED MANAGER TO CLEAN FLOORS UNDER ALL EQUIPMENT, ALONG WALLS AND IN ALL CORNERS IN ALL AREAS. OBSERVED DUST BUILDUP ON FAN IN WALK-IN COOLER, LIGHT SHIELDS IN COOKING AREA AND CEILING AND WALL VENTS IN PREP AND STORAGE AREAS. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN ALL FANS, LIGHT SHIELDS AND CEILING/WALL VENTS.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 	OBSERVED MISSING, DAMAGED FLOOR TILES AND MISSING GROUT IN THE DISH CHEMICAL STOREROOM, BOTH DISH AREAS. INSTRUCTED TO REPAIR TO CREATE A SMOOTH AND EASILY CLEANABLE SURFACE. MUST MAINTAIN AT ALL TIMES | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 	OBSERVED UNDER HANDSINK IN MAIN DISH ROOM A 4X5 HOLE IN WALL, ALSO NOTED EXCESSIVLY LEAKING FROM HOT WATER LINE. INSTRUCTED TO REPAIR AND MAINTAIN | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED PROTECTIVE SHIELDING FULL OF RUST OF MAIN DISH MACHINE, INSTRUCTED TO REPLACE AND MAINTAIN."	41.88945828010943	-87.62036837642913	(41.88945828010943, -87.62036837642913)
2612283	RICCARDO TRATTORIA TOSCANA	RICCARDO TRATTORIA TOSCANA	1647950.0	Restaurant	Risk 1 (High)	2119 N CLARK ST	CHICAGO	IL	60614.0	2025-02-18	Canvass	Pass	10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED TWO HAND WASHING SINKS (ONE AT THE BAR AREA AND ONE AT THE ENTRANCE OF THE KITCHEN ON THE LEFET HAND SIDE) TO BE WITHOUT A HAND WASHING SIGN. INSTRUCTED MANAGER TO PROVIDE ADEQUATE SIGNAGE FOR BOTH SINKS INSTRUCTING EMPLOYEES TO WASH HANDS.  | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED NO THERMOMETER PRESENT IN SMALL REACH IN/GLASS DOOR BEVERAGE COOLER AT ENTRANCE TO KITCHEN. INSTRUCTED MANAGER TO PROVIDE THERMOMETER TO MEASURE INTERNAL AMBIENT AIR TEMPERATURE. MANAGER PROVIDED ONE AT TIME OF INSPECTION. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED BUILD UP OF DUST AND DEBRIS ON THE FILTERS OF THE OVERHEAD EXHAUST SYSTEM IN THE MAIN KITCHEN PREP/COOKING AREA. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN FREE OF EXCESSIVE DUST AND DEBRIS BUILD UP.	41.92075785156088	-87.63739403570438	(41.92075785156088, -87.63739403570438)
2612281	CHILDREN'S WORLD DAYCARE	CHILDREN'S WORLD DAYCARE	2712191.0	Daycare Above and Under 2 Years	Risk 1 (High)	5807 N LINCOLN AVE	CHICAGO	IL	60659.0	2025-02-18	License	Pass		41.98705013244154	-87.70153205076969	(41.98705013244154, -87.70153205076969)
2612276	Bryn Mawr Breakfast Club LLC	Bryn Mawr Breakfast Club	2967568.0	Restaurant	Risk 1 (High)	4747 N DAMEN AVE	CHICAGO	IL	60625.0	2025-02-18	Canvass Re-Inspection	Pass		41.96833040315145	-87.67902762942835	(41.96833040315145, -87.67902762942835)
2611406	EL MEZCALITO CANTINA & GRILL	EL MEZCALITO CANTINA & GRILL	3007189.0	Restaurant	Risk 3 (Low)	5147-5151 S ARCHER AVE	CHICAGO	IL	60632.0	2025-01-30	License	Fail		41.80030387187546	-87.731742412929	(41.80030387187546, -87.731742412929)
2611362	KING'S CHOP SUEY	KING'S CHOP SUEY	2055457.0	Restaurant	Risk 1 (High)	4635 W 63RD ST	chicago	IL	60629.0	2025-01-29	Complaint	Pass	16. FOOD-CONTACT SURFACES: CLEANED & SANITIZED - Comments: INTERIOR OF ALL REACH IN COOLERS AND FREEZERS IN NEED OF DETAIL CLEANING TO REMOVE ALL FOOD SPILLS AND BUILD UP. INSTRUCTED TO DETAIL CLEAN AND MAINTAIN.  | 35. APPROVED THAWING METHODS USED - Comments: OBSERVED FROZEN MEAT IN A CONTAINER ON THE COUNTER, NOT UNDER REFRIGERATION OR COLD RUNNING WATER. INSTRUCTED MANAGER TO REFRIGERATE OR PUT UNDER COLD RUNNING WATER TO THAW FOOD ITEMS RAPIDLY. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments:  ALL REACH-IN COOLERS ARE IN NEED OF DETAILED CLEANING TO REMOVE ALL FOOD SPILLS AND BUILD-UP. INSTRUCTED TO DETAIL CLEAN AND MAINTAIN | 41. WIPING CLOTHS: PROPERLY USED & STORED - Comments: ALL WIPING CLOTHS WHEN NOT IN USE MUST BE STORED IN A CLEAN SANITIZING SOLUTION. INSTRUCTED TO CORRECT AND MAINTAIN  | 43. IN-USE UTENSILS: PROPERLY STORED - Comments: ALL MULTI USE UTENSILS WHEN NOT IN USE MUST BE STORED IN A CLEAN SANITIZED AREA. INSTRUCTED TO CORRECT AND MAINTAIN.  | 44. UTENSILS, EQUIPMENT & LINENS: PROPERLY STORED, DRIED, & HANDLED - Comments: ALL MULTI-USE UTENSILS ARE IN NEED OF DETAILED CLEANING AND AIR DRYING BEFORE STORING IN A COMMON BUCKET. INSTRUCTED TO CORRECT AND MAINTAIN  | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: CUTTING BOARDS IN NEED OF DETAIL CLEANING; REPLACE IF DARK IN COLOR WITH DEEP CUTS. INSTRUCTED TO CORRECT AND MAINTAIN. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: ALL COOKING EQUIPMENT AND STEAM TABLE IN NEED OF DETAIL CLEANING TO REMOVE ALL FOOD SPILLS AND BUILD UP. INSTRUCTED TO DETAIL CLEAN AND MAINTAIN | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments:  FLOORS THROUGHOUT ARE IN NEED OF DETAILED CLEANING TO REMOVE ALL FOOD SPILLS AND BUILD-UP. INSTRUCTED TO DETAIL CLEAN AND MAINTAIN.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: UNNECESSARY CLUTTER IN THE BASEMENT, SIDE ROOM STORAGE, AND FRONT AREA MUST BE REMOVED. ALL ITEMS MUST BE ORGANIZED AND UP OFF THE FLOOR. INSTRUCTED TO CORRECT AND MAINTAIN.  | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: THE HOOD VENT IS IN NEED OF DETAILED CLEANING TO REMOVE ALL GREASE AND DUST BUILD-UP INSTRUCTED TO DETAIL CLEAN AND MAINTAIN.  | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: HEAT AND AIR VENTS IN NEED OF CLEANING TO REMOVE ALL DUST BUILDUP. THE ELECTICAL OUTLET ABOVE THE RICE WITH SO MUCH DUST MUST BE DETAIL CLEANED AND MAINTAINED.	41.77835933880419	-87.73875954521854	(41.77835933880419, -87.73875954521854)
2611492	SHARKS FISH & CHICKEN	SHARKS FISH & CHICKEN	2771508.0	Restaurant	Risk 2 (Medium)	855 W 87TH ST	CHICAGO	IL	60620.0	2025-01-30	Complaint Re-Inspection	Pass		41.73593237226744	-87.64580479022729	(41.735932372267435, -87.64580479022729)
2611483	AYAYAY-COMIDA MEXICANA	AYAYAY	2998020.0	Restaurant	Risk 1 (High)	60 E LAKE ST	CHICAGO	IL	60601.0	2025-01-30	License	Pass		41.8858384517594	-87.62584164558255	(41.8858384517594, -87.62584164558255)
