Restaurant Name	Inspection Type	Inspection Date	Inspection Score	Street Number	Street Name	Street Direction	Street Type	Street Unit	Street Address	Zip Code	Violation Description - 1	Violation Points - 1	Violation Detail - 1	Violation Memo - 1	Violation Description - 2	Violation Points - 2	Violation Detail - 2	Violation Memo - 2	Violation Description - 3	Violation Points - 3	Violation Detail - 3	Violation Memo - 3	Violation Description - 4	Violation Points - 4	Violation Detail - 4	Violation Memo - 4	Violation Description - 5	Violation Points - 5	Violation Detail - 5	Violation Memo - 5	Violation Description - 6	Violation Points - 6	Violation Detail - 6	Violation Memo - 6	Violation Description - 7	Violation Points - 7	Violation Detail - 7	Violation Memo - 7	Violation Description - 8	Violation Points - 8	Violation Detail - 8	Violation Memo - 8	Violation Description - 9	Violation Points - 9	Violation Detail - 9	Violation Memo - 9	Violation Description - 10	Violation Points - 10	Violation Detail - 10	Violation Memo - 10	Violation Description - 11	Violation Points - 11	Violation Detail - 11	Violation Memo - 11	Violation Description - 12	Violation Points - 12	Violation Detail - 12	Violation Memo - 12	Violation Description - 13	Violation Points - 13	Violation Detail - 13	Violation Memo - 13	Violation Description - 14	Violation Points - 14	Violation Detail - 14	Violation Memo - 14	Violation Description - 15	Violation Points - 15	Violation Detail - 15	Violation Memo - 15	Violation Description - 16	Violation Points - 16	Violation Detail - 16	Violation Memo - 16	Violation Description - 17	Violation Points - 17	Violation Detail - 17	Violation Memo - 17	Violation Description - 18	Violation Points - 18	Violation Detail - 18	Violation Memo - 18	Violation Description - 19	Violation Points - 19	Violation Detail - 19	Violation Memo - 19	Violation Description - 20	Violation Points - 20	Violation Detail - 20	Violation  Memo - 20	Violation Description - 21	Violation Points - 21	Violation Detail - 21	Violation Memo - 21	Violation Description - 22	Violation Points - 22	Violation Detail - 22	Violation Memo - 22	Violation Description - 23	Violation Points - 23	Violation Detail - 23	Violation Memo - 23	Violation Description - 24	Violation Points - 24	Violation Detail - 24	Violation Memo - 24	Violation Description - 25	Violation Points - 25	Violation Detail - 25	Violation Memo - 25	Inspection Month	Inspection Year	Lat Long Location
PIZZA PATRON #0001	Routine	2024-02-13	94	1401	BUCKNER	S	BLVD	#147	1401 S BUCKNER BLVD #147	75217	*28 Date marking > 24 hrs,on site,temp 41F	2.0	228.75  Food.          Time and temperature control.          (g) Ready-to-eat, TCS food, date marking.  (2) Except as specified in paragraphs (5) - (7) of this subsection, refrigerated, ready-to-eat, time/temperature controlled for safety food prepared and packaged by a food processing plant shall be clearly marked, at the time the original container is opened in a food establishment and held at a temperature of 41 degrees Fahrenheit (5 degrees Celsius) or less if the food is held for more than 24 hours, to indicate the date or day by which the food shall be consumed on the premises, sold, or discarded, based on the temperature and time combinations specified in paragraph (1) of this subsection:        (A) the day the original container is opened in the food establishment shall be counted as day 1;  and	clearly date mark TCS food for 7 days only	*47 Conditions of Permit-in use of food equipment	1.0	228.248 Compliance           Conditions of retention, responsibilities of the permit holder.                          Upon acceptance of the permit issued by the regulatory authority, the permit holder in order to retain the permit shall:          (11) Notify customers that a copy of the most recent establishment inspection report is available upon request by posting a sign or placard in a location in the food establishment that is conspicuous to customers or by another method acceptable to the regulatory authority.	provide sign about inspection report	*42 Dirty nonfood contact surfaces	1.0	228.113  Equipment, Utensils, and Linens.          Cleaning of equipment and utensils.          (3) Nonfood-contact surfaces of equipment shall be kept free of an accumulation of dust, dirt, food residue, and other debris.	clean shelves, gaskets	*22 Accredited food handler certificate - 60 days	2.0	õ228.33. Certified Food Protection Manager and Food Handler Requirements  (d) Except in a temporary food establishment and the certified food manager, all food employees shall successfully complete an accredited food handler training course, within 60 days of employment.	all employees need food handler cards																																																																																					Feb 2024	FY2024	1401 S BUCKNER BLVD #147
STROUDEROSA	Routine	2024-01-03	100	9090	SKILLMAN		ST	174A	9090 SKILLMAN ST 174A	75243																																																																																																					Jan 2024	FY2024	9090 SKILLMAN ST 174A
AFC SUSHI @ ALBERTSON'S	Routine	2024-02-22	97	9540	GARLAND		RD	#321	9540 GARLAND RD #321	75206	*18 Toxic items storage adjacent to food/utensils	3.0	228.203  Poisonous or Toxic Materials.            Storage, separation.  Poisonous or toxic materials shall be stored so they cannot contaminate food, equipment, utensils, linens, and single-service and single-use articles by:          (1) separating the poisonous or toxic materials by spacing or partitioning; and	store spray bottle in proper storage, observed adjacent to treys																																																																																																	Feb 2024	FY2024	9540 GARLAND RD #321
DALLAS BIBLICAL ARTS	Routine	2024-01-31	100	7500	PARK		LN		7500 PARK LN	75225																																																																																																					Jan 2024	FY2024	7500 PARK LN
SEASONS 52 (BAR)	Routine	2024-01-29	100	8687	CENTRAL	N	EXPW	#B307	8687 N CENTRAL EXPW #B307	75225																																																																																																					Jan 2024	FY2024	8687 N CENTRAL EXPW #B307
HUMBLE SIMPLY GOOD PIES	Routine	2024-01-26	100	9014	GARLAND		RD		9014 GARLAND RD	75218																																																																																																					Jan 2024	FY2024	9014 GARLAND RD
EATZI'S	Routine	2024-02-23	99	6025	ROYAL		LN	#208	6025 ROYAL LN #208	75230	*42 Dirty nonfood contact surfaces	1.0	228.113  Equipment, Utensils, and Linens.          Cleaning of equipment and utensils.          (3) Nonfood-contact surfaces of equipment shall be kept free of an accumulation of dust, dirt, food residue, and other debris.	clean packaged food (dust accumulation) and clean display cooler (milk area)																																																																																																	Feb 2024	FY2024	"6025 ROYAL LN #208
(35.48581199, -86.464981999)"
JACK IN THE BOX	Routine	2024-02-16	95	3232	BUCKNER	N	BLVD		3232 N BUCKNER BLVD	75228	*19 Water &  Plumbing in good repair- per code	3.0	228.149  Water, Plumbing, and Waste.          Plumbing, operation and maintenance.          (e) System maintained in good repair.  A plumbing system shall be:          (1) repaired according to the Plumbing Code;  and	3 comp sink observed a leak underside	*32 Damaged Equipment	2.0	228.104  Equipment, Utensils, and Linens.          Cleanability.          (a) Food-contact surfaces.  Multi use food-contact surfaces shall be:          (2) free of breaks, open seams, cracks, chips, inclusions, pits, and similar imperfections;	cutting board needs to be resurfaced , observed grooves on surface																																																																																													Feb 2024	FY2024	3232 N BUCKNER BLVD
NATURES PLATE LLC	Routine	2024-01-12	100	10233	NORTHWEST	E	HWY	#430	10233 E NORTHWEST HWY #430	75238																																																																																																					Jan 2024	FY2024	10233 E NORTHWEST HWY #430
MERCY STREET	Routine	2024-01-03	100	3801	HOLYSTONE		ST		3801 HOLYSTONE ST	75212																																																																																																					Jan 2024	FY2024	3801 HOLYSTONE ST
HOT N CREAMY DONUTS	Routine	2024-01-21	94	7877	FRANKFORD		RD	#101	7877 FRANKFORD RD STE #101	75252	*10 Sanitization after Cleaning	3.0	228.117  Equipment, Utensils, and Linens.         Sanitization Frequency, Before Use After Cleaning.  Utensils and food-contact surfaces of equipment shall be sanitized before use after cleaning.	EMPLOYEE STATES THAT THEY DO NOT SANITIZE ONLY WASH+DRY+RINSE	*06 Time as PHC: within 4 hours provide written procedures methods of compliance public health contr	3.0	228.75  Food.          Time and temperature control.         (i) Time as a public health control.    (1) Except as specified in paragraph (4) of this subsection if time without temperature control is used as the public health control for a working supply of TCS food before cooking, or for ready-to-eat TCS food that is displayed or held for sale or service. Written procedures shall be prepared in advance, maintained in the food establishment and made available to the regulatory authority upon request that specify:     (B) methods of compliance with subsection (d) of this section for food that is prepared, cooked, and refrigerated before time is used as a public health control.	PROVIDE LOG PER PREPARED + DISCARDED DAILY FOR TCS /MEAT +EGG ITEMS. USE ACCURATE TIMES																																																																																													Jan 2024	FY2024	7877 FRANKFORD RD STE #101
RED LOBSTER #0873	Routine	2024-02-02	100	9069	VANTAGE POINT				9069 VANTAGE POINT	75243																																																																																																					Feb 2024	FY2024	"9069 VANTAGE POINT
(39.224, -76.85386)"
MOXIE'S GRILL & BAR (OUTSIDE BAR)	Routine	2024-02-28	100	100	CRESCENT		CT	#140	100 CRESCENT CT #140	75201																																																																																																					Feb 2024	FY2024	"100 CRESCENT CT #140
(41.744983979, -72.689933997)"
MARILLAC SENIOR CNTR	Routine	2024-01-08	99	2843	LAPSLEY		ST		2843 LAPSLEY ST	75212	*42 Dirty nonfood contact surfaces	1.0	228.113  Equipment, Utensils, and Linens.          Cleaning of equipment and utensils.          (3) Nonfood-contact surfaces of equipment shall be kept free of an accumulation of dust, dirt, food residue, and other debris.	Clean wire racks in walk-in cooler of all build-up (mold, grease)																																																																																																	Jan 2024	FY2024	2843 LAPSLEY ST
MEEZ FOOD MART	Routine	2024-01-02	100	10020	ROYAL		LN		10020 ROYAL LN	75238																																																																																																					Jan 2024	FY2024	10020 ROYAL LN
NUTRITIONAL PRODUCTS OF TEXAS	Routine	2024-01-26	98	3312	BUCKNER	N	BLVD	205	3312 N BUCKNER BLVD 205	75228	*31 Handwashing lavatory - allow convenient	2.0	228.148  Water, Plumbing, and Waste.          Plumbing, location and placement.          (a) Handwashing facility.  Handwashing facilities shall be located:                (1) to allow convenient use by employees in food preparation, food dispensing, and warewashing areas; and	HAND WASH SIGN NEEDED AT HAND SINK																																																																																																	Jan 2024	FY2024	3312 N BUCKNER BLVD 205
LA SUPER ECONOMICA #6 BAKERY	Routine	2024-02-28	100	2402	GUS THOMASSON		RD		2402 GUS THOMASSON RD	75228-3007																																																																																																					Feb 2024	FY2024	"2402 GUS THOMASSON RD
(32.83398599, -96.674873986)"
EATZI'S DELI	Routine	2024-02-23	100	6025	ROYAL		LN	#208	6025 ROYAL LN #208	75230																																																																																																					Feb 2024	FY2024	"6025 ROYAL LN #208
(35.48581199, -86.464981999)"
